Ligand,Processed Name,SMILES
Aminoacetic acid (Glycine),Glycine,NCC(O)=O
L-2-Aminopropanoic acid (Alanine),Alanine,C[C@H](N)C(O)=O
DL-2-Aminobutanoic acid,DL-2-Aminobutanoic acid,CCC(N)C(O)=O
DL-2-Aminopentanoic acid (Norvaline),Norvaline,CCC[C@H](N)C(O)=O
DL-2-Aminohexanoic acid (Norleucine),Norleucine,CCCC[C@H](N)C(O)=O
L-2-Amino-3-methylbutanoic acid (Valine),Valine,CC(C)[C@H](N)C(O)=O
L-2-Amino-4-methylpentanoic acid (Leucine),Leucine,CC(C)C[C@H](N)C(O)=O
L-2-Amino-3-methylpentanoic acid (Isoleucine),Isoleucine,CC[C@H](C)[C@H](N)C(O)=O
D-allo-2-Amino-3-methylpentanoic acid (D-allo-Isoleucine),D-allo-Isoleucine,CC[C@H](C)[C@@H](N)C(O)=O
2-Amino-2-methylpropanoic acid (2-Aminoisobutyric acid),2-Aminoisobutyric acid,CC(C)(N)C(O)=O
DL-2-Amino-4-pentenoic acid,DL-2-Amino-4-pentenoic acid,
DL-2-Amino-5-hexenoic acid,DL-2-Amino-5-hexenoic acid,
DL-2-Amino-6-heptenoic acid,DL-2-Amino-6-heptenoic acid,
1-Aminocyclopentanecarboxylic acid (Cycloleucine),Cycloleucine,NC1(CCCC1)C(O)=O
1-Aminocyclohexanecarboxylic acid,1-Aminocyclohexanecarboxylic acid,NC1(CCCCC1)C(O)=O
1-Aminocycloheptanecarboxylic acid,1-Aminocycloheptanecarboxylic acid,NC1(CCCCCC1)C(O)=O
DL-Aminophenylacetic acid (Phenylglycine),Phenylglycine,OC(=O)CNc1ccccc1
L-2-Amino-3-phenylpropanoic acid (Phenylalanine),Phenylalanine,N[C@@H](Cc1ccccc1)C(O)=O
DL-2-Amino-3-chloropropanoic acid (3-Chloroalanine),3-Chloroalanine,N[C@@H](CCl)C(O)=O
DL-2-Amino-3-chlorobutanoic acid,DL-2-Amino-3-chlorobutanoic acid,
DL-2-Amino-3-(2-fluorophenyl)propanoic acid (DL-3-(2-Fluorophenyl)alanine),DL-2-Amino-3-(2-fluorophenyl)propanoic acid (DL-3-(2-Fluorophenyl)alanine),
DL-2-Amino-3-(3-fluorophenyl)propanoic acid (DL-3-(3-Fluorophenyl)alanine),DL-2-Amino-3-(3-fluorophenyl)propanoic acid (DL-3-(3-Fluorophenyl)alanine),
DL-2-Amino-3-(4-fluorophenyl)propanoic acid (DL-3-(4-Fluorophenyl)alanine),DL-2-Amino-3-(4-fluorophenyl)propanoic acid (DL-3-(4-Fluorophenyl)alanine),
DL-2-Amino-3-(2-chlorophenyl)propanoic acid (DL-3-(2-Chlorophenyl)alanine),DL-2-Amino-3-(2-chlorophenyl)propanoic acid (DL-3-(2-Chlorophenyl)alanine),
DL-2-Amino-3-(3-chlorophenyl)propanoic acid (DL-3-(3-Chlorophenyl)alanine),DL-2-Amino-3-(3-chlorophenyl)propanoic acid (DL-3-(3-Chlorophenyl)alanine),
DL-2-Amino-3-(4-chlorophenyl)propanoic acid (DL-3-(4-Chlorophenyl)alanine),DL-2-Amino-3-(4-chlorophenyl)propanoic acid (DL-3-(4-Chlorophenyl)alanine),
DL-Amino-4-sulfophenylacetic acid (4-Sulfophenylglycine),4-Sulfophenylglycine,OC(=O)CNc1ccc(cc1)[S](O)(=O)=O
DL-2-Amino-4-sulfobutanoic acid (Homocysteic acid),Homocysteic acid,N[C@@H](CC[S](O)(=O)=O)C(O)=O
3-Aminopropanoic acid (beta-Alanine),beta-Alanine,NCCC(O)=O
DL-3-Aminobutanoic acid,DL-3-Aminobutanoic acid,
cis-2-Aminocyclopentane-1-carboxylic acid,cis-2-Aminocyclopentane-1-carboxylic acid,N[C@H]1CCC[C@H]1C(O)=O
trans-2-Aminocyclopentane-1-carboxylic acid,trans-2-Aminocyclopentane-1-carboxylic acid,N[C@@H]1CCC[C@H]1C(O)=O
cis-2-Aminocyclohexane-1-carboxylic acid,cis-2-Aminocyclohexane-1-carboxylic acid,N[C@H]1CCCC[C@H]1C(O)=O
trans-2-Aminocyclohexane-1-carboxylic acid,trans-2-Aminocyclohexane-1-carboxylic acid,N[C@@H]1CCCC[C@H]1C(O)=O
cis-2-Amino-4-cyclohexene-1-carboxylic acid,cis-2-Amino-4-cyclohexene-1-carboxylic acid,N[C@H]1CC=CC[C@H]1C(O)=O
trans-2-Amino-4-cyclohexene-1-carboxylic acid,trans-2-Amino-4-cyclohexene-1-carboxylic acid,N[C@@H]1CC=CC[C@H]1C(O)=O
DL-3-Amino-3-phenylpropanoic acid (Phenyl-beta-Alanine),Phenyl-beta-Alanine,OC(=O)CCNc1ccccc1
4-Aminobutanoic acid,4-Aminobutanoic acid,NCCCC(O)=O
5-Aminopentanoic acid,5-Aminopentanoic acid,NCCCCC(O)=O
6-Aminohexanoic acid,6-Aminohexanoic acid,NCCCCCC(O)=O
7-Aminoheptanoic acid,7-Aminoheptanoic acid,NCCCCCCC(O)=O
Aminopropanedioic acid (Aminomalonic acid),Aminomalonic acid,NC(C(O)=O)C(O)=O
L-Aminobutanedioic acid (Aspartic acid),Aspartic acid,N[C@@H](CC(O)=O)C(O)=O
DL-2-Amino-3-methylbutanedioic acid (3-Methylaspartic acid),3-Methylaspartic acid,CC([C@H](N)C(O)=O)C(O)=O
L-2-Aminopentanedioic acid (Glutamic acid),Glutamic acid,N[C@@H](CCC(O)=O)C(O)=O
DL-2-Amino-2-methylpentanedioic acid (2-Methylglutamic acid),2-Methylglutamic acid,C[C@](N)(CCC(O)=O)C(O)=O
DL-2-Aminohexanedioic acid,DL-2-Aminohexanedioic acid,
